CNS5,GJ,Comp,NComp,P_,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,_tab1_11,plx,pmRA,pmDE,RV,Gmag,BPmag,RPmag,GHIPmag,G-RPHIP,Gmagr,__G-RP_r,f__G-RP_r,Jmag,Hmag,Ksmag,W1mag,W2mag,W3mag,W4mag,SimbadName
5142,4165,,,0,,1871118140493076224,,312.27882302575,37.47122796548,2016.0,56.89,162.12,148.14,,13.035794,13.005794,13.128798,,,13.035794,-0.093003,1,13.303,13.37,13.432,,,,,CNS5 5142
5239,822.1,C,3,0,,1964791549008457728,104887,318.69622421754,38.02250673998,2016.0,49.14,167.77,421.01,-23.54,11.000573,12.187614,9.816401,,,11.000573,1.111431,0,8.337,7.706,7.485,7.271,7.214,7.138,6.941,CNS5 5239
5240,822.1,AB,3,1,,,104887,318.6972775334,38.04432059689,1991.25,49.16,196.99,410.28,,,,,3.636131,0.347928,3.636131,0.347928,2,,,,,,,,CNS5 5240
5218,820,B,2,0,,1872046574983497216,104217,316.75366275256,38.75607277206,2016.0,286.01,4105.98,3155.94,-64.43,5.4506445,6.272253,4.556912,,,5.450644,0.890171,0,3.546,2.895,2.544,,,,,CNS5 5218
5217,820,A,2,1,,1872046609345556480,104214,316.748479294,38.7638624465,2016.0,285.99,4164.21,3249.61,-65.94,4.766713,5.439793,3.977203,,,4.766713,0.789709,0,3.114,2.54,2.248,,,,,CNS5 5217
5087,4152,,,0,,2063967910147595008,,309.19278279339,38.84173999458,2016.0,61.14,170.65,-150.56,,12.111444,13.608441,10.9161,,,12.111444,1.193303,0,9.27,8.707,8.461,8.286,8.133,8.388,8.353,CNS5 5087
5070,792,,,0,,2064100569188230144,,307.85797116863,38.56548761205,2016.0,64.95,201.38,720.68,,12.146215,13.765141,10.901452,,,12.146215,1.231233,0,9.193,8.627,8.358,8.165,7.975,7.977,8.569,CNS5 5070
5195,13045,,,0,,1873146567646379008,,315.3884359246,39.95101730804,2016.0,41.76,-147.61,2.8,,14.335631,16.363392,13.007822,,,14.335631,1.326568,0,10.99,10.403,10.116,9.915,9.723,9.599,8.959,CNS5 5195
5187,815,,,0,,1873073175244118784,103655,315.02594408686,40.06906741776,2016.0,66.59,602.23,-250.52,,9.396831,10.391384,8.152237,,,9.396831,1.073153,0,6.668,6.089,5.88,5.81,5.57,5.59,5.449,CNS5 5187
5321,834,B,2,0,,1953952387283004416,106694,324.15917419924,39.45494611812,2016.0,47.94,-168.83,-178.55,,11.071051,,,,,11.071051,,,7.111,6.496,6.302,6.193,6.013,6.054,5.944,CNS5 5321
5322,834,A,2,1,,1953952391581618432,106694,324.1595306103,39.45499047105,2016.0,48.14,-209.18,-160.11,0.72,9.651061,10.391324,8.42933,,,9.651061,0.981771,0,7.111,6.496,6.302,6.193,6.013,6.054,5.944,CNS5 5322
5377,13143,,,0,,1954170404122975232,,327.07239546429,40.06851779302,2016.0,123.68,772.18,458.24,-14.52,19.818087,21.344938,18.1991,,,19.818087,1.618986,1,14.147,12.783,11.765,10.756,10.243,9.631,9.066,CNS5 5377
5272,13087,,,0,,1965478468902062592,,321.13780325407,40.06853292389,2016.0,68.98,542.23,439.02,-60.0,13.897119,16.177614,12.525053,,,13.897119,1.376314,0,10.339,9.74,9.431,9.177,8.996,8.839,8.721,CNS5 5272
5353,836.8,,,0,,1954559047126247936,107346,326.12447685375,41.59764417178,2016.0,50.44,-61.19,40.9,10.29,9.042687,9.847819,8.167549,,,9.042687,0.876694,0,7.07,6.422,6.289,6.187,6.134,6.201,6.121,CNS5 5353
5435,4246,,,0,,1959969434607205376,,329.84200557556,41.85704936958,2016.0,48.64,109.85,-408.77,,11.647216,12.987848,10.498184,,,11.647216,1.14344,0,8.982,8.384,8.156,7.989,7.859,7.75,7.559,CNS5 5435
5408,13164,,,0,,1960660958705529344,,328.49434759126,42.59147613766,2016.0,39.71,-80.03,-257.01,,15.846461,17.85983,13.899472,,,15.846461,1.418841,0,11.636,11.059,10.763,10.498,10.301,10.088,8.562,CNS5 5408
5357,13134,,,0,,1973094614149871872,107376,326.22409277187,44.28289510468,2016.0,43.67,-140.6,-655.4,-28.09,10.513817,11.63558,9.457491,,,10.513817,1.054233,0,8.1,7.454,7.255,7.012,7.069,6.988,6.813,CNS5 5357
5369,4219,,,0,,1974606167761196032,,326.73614950661,46.63503917498,2016.0,58.36,278.75,-5.6,,12.080098,13.694959,10.846426,,,12.080098,1.227905,0,9.089,8.481,8.214,8.041,7.907,7.762,7.619,CNS5 5369
5076,12978,,,0,,2064689567732385792,,308.34127538452,39.90226201108,2016.0,48.23,36.58,-100.92,,16.224464,16.53693,15.753734,,,16.224464,0.477408,0,15.279,15.227,14.944,,,,,CNS5 5076
5072,793.1,,,0,,2067948245320365056,101382,308.21423778615,41.90049439394,2016.0,45.77,-157.01,451.83,,6.8316164,7.254273,6.231244,,,6.831616,0.594782,0,5.474,5.081,4.966,4.945,4.658,4.915,4.517,CNS5 5072
5003,12933,,,0,,2074506110651830784,,302.66918780129,40.66861562172,2016.0,40.65,294.34,-85.64,,13.896421,15.693484,12.627132,,,13.896421,1.272188,0,10.795,10.216,9.941,9.748,9.576,9.691,9.228,CNS5 5003
5162,13025,,,0,,2066768499405895168,,313.24121800425,43.17197818115,2016.0,60.04,-197.45,-317.43,,11.908527,13.343314,10.730004,,,11.908527,1.174276,0,9.144,8.578,8.345,8.173,8.006,7.805,6.968,CNS5 5162
5127,806,,,0,,2070115588901082368,102401,311.26978468219,44.5002726684,2016.0,82.92,434.03,271.02,-24.28,9.828687,11.005876,8.750727,,,9.828687,1.077968,0,7.329,6.769,6.533,6.409,6.169,6.239,6.296,CNS5 5127
5214,13055,,,0,,2162411240644426240,,316.56909610793,44.61682002535,2016.0,40.91,-23.28,-138.42,,14.151821,16.040386,12.859423,,,14.151821,1.295319,0,10.969,10.396,10.128,9.922,9.731,9.787,9.135,CNS5 5214
5201,816.1,A,2,1,,2163558855915068416,103859,315.67240371913,45.88539608945,2016.0,51.42,406.83,140.99,-14.33,7.431637,7.921854,6.779132,,,7.431637,0.651443,0,5.944,6.953,5.372,,,,,CNS5 5201
5202,13048,B,2,0,816.1,2163558855915069952,,315.67347406449,45.88543038097,2016.0,51.23,378.88,151.32,,11.583294,,,,,11.583294,,,,,,,,,,CNS5 5202
5102,12992,,,0,,2168280502430898944,,310.44876837737,49.64690532478,2016.0,43.49,158.33,44.34,,13.68916,15.573718,12.394258,,,13.68916,1.294913,0,10.416,9.832,9.541,9.334,9.183,9.234,9.128,CNS5 5102
5139,13009,,,0,,,,312.0011446,50.6395396,2000.0,32.0,99.0,248.0,,,,,,,,,,,,,16.732,15.358,13.188,9.549,CNS5 5139
5152,4167,,,0,,2182197777015312384,102870,312.63992950208,52.90154631022,2016.0,43.94,286.96,438.86,-52.46,9.183121,9.95907,8.325234,,,9.183121,0.858412,0,7.236,6.619,6.48,,,,,CNS5 5152
5482,13206,,,0,,1961385914819977216,,332.59103397569,42.84807623136,2016.0,45.64,-9.5,-281.04,,13.490691,15.201708,12.23991,,,13.490691,1.2514,0,10.445,9.943,9.715,9.55,9.343,9.212,8.461,CNS5 5482
5582,13260,,,0,,1982218395990388224,,339.53309891899,43.88768529803,2016.0,44.25,325.08,-125.21,,18.677017,21.457436,17.068258,,,18.677017,1.608759,1,13.84,13.046,12.52,12.211,11.96,11.853,8.399,CNS5 5582
5620,873,,,0,,1934263333784036864,112460,341.70282545224,44.33195332332,2016.0,198.0,-706.22,-458.92,,9.005235,10.522137,7.791977,,,9.005235,1.201778,0,6.106,5.554,5.299,5.202,4.716,4.904,4.75,CNS5 5620
5446,13183,,,0,,,,330.7674279,46.3231698,2000.0,75.1,1289.1,-271.1,,,,,,,,,,,,,18.919,14.967,12.267,9.164,CNS5 5446
5577,13256,,,0,,,,339.0733476,51.0977486,2000.0,102.8,708.6,326.7,,,,,,,,,,14.584,14.486,14.445,13.827,12.499,11.008,9.319,CNS5 5577
5711,13330,A,2,1,,1935133906477014016,114456,347.70810989568,45.51099625165,2016.0,42.49,-86.65,-287.12,-30.69,6.8045487,7.17211,6.269301,,,6.804549,0.536507,0,5.646,5.346,5.281,5.245,5.107,5.276,5.23,CNS5 5711
5712,13331,B,2,0,13330,1935122258524180480,,347.72806568391,45.51165714605,2016.0,42.54,-87.17,-288.59,,14.470634,16.801502,13.082037,,,14.470634,1.38612,0,10.844,10.227,9.896,9.69,9.515,9.305,9.158,CNS5 5712
5756,13354,,,0,,1937923436193950208,115341,350.43645087998,45.17572884076,2016.0,49.15,196.25,-73.03,-13.76,7.816189,8.354011,7.126989,,,7.816189,0.689034,0,6.32,5.817,5.71,,,,,CNS5 5756
5741,894.1,,,0,,1941217160713765376,115058,349.57684839171,46.2898883108,2016.0,42.07,328.63,134.74,-6.13,10.12848,11.125096,9.138804,,,10.12848,0.990483,0,7.89,7.23,7.021,6.885,6.91,6.851,6.734,CNS5 5741
5771,13367,B,2,0,13368,1941668716392322560,,351.40911635798,47.28485018971,2016.0,40.46,13.14,35.53,,12.437058,,,,,12.437058,,,8.26,7.682,7.463,7.204,7.192,7.106,6.925,CNS5 5771
5772,13368,A,2,1,,1941668716395829504,,351.40938844996,47.2849135398,2016.0,40.23,31.63,6.22,-9.12,11.077119,12.040858,9.727031,,,11.077119,1.095285,0,8.26,7.682,7.463,7.204,7.192,7.106,6.925,CNS5 5772
5813,13393,,,0,,,,353.8627731,45.1946513,2000.0,44.0,-92.7,-79.9,,,,,,,,,,16.94,15.56,14.69,13.531,12.946,11.925,8.512,CNS5 5813
5825,4351,,,0,,1939093660163197440,116613,354.49599341245,46.19938254402,2016.0,43.87,357.16,-11.73,-0.14,6.428031,6.744495,5.939177,,,6.428031,0.488854,0,5.406,5.123,5.076,5.044,4.883,5.082,5.021,CNS5 5825
5921,913,,,0,,,118212,359.67892054332,46.72917330458,1991.25,57.01,668.39,-7.98,,,,,9.105786,0.823125,9.105786,0.823125,2,,,,,,,,CNS5 5921
5929,4385,,,0,,1927517417630958080,,359.9620558635,47.76147774464,2016.0,52.17,872.38,-199.49,,14.278437,16.417427,12.932926,,,14.278437,1.349091,0,10.866,10.263,9.93,9.73,9.537,9.32,8.635,CNS5 5929
