#Title: UBVRI Photometric Standard Stars Around The Celestial Equator: Updates and Additions.   Landolt, 2009, AJ 137, 4186
#Author: Landolt A.U. Table: UBVRI Photometry of Standard Stars   aj298675t2_mrt.txt   PM (mas/yr)added from table5 aj298675t5_mrt.txt. 
# Blanks removed from name strings, Colons in coords, Errors for single obs changed from blanks to 0.009, DLtypes where available from: Drilling & Landolt 1979, AJ, 84, 783 
# Tphe-E removed, 0-593 stars.  SA92-260 & SA109-956 coords (and 2mass) corrected
#-------------------------------------------------------Landolt 2009------------------------------------------------------------------------------|------------------- 2MASS ---------------------------------------|----------------UKIRT-----------|-NOMAD
name       RhRmRs      Dddmds      V     B-V    U-B    V-R    R-I    V-I     n   m   eV    eBV    eUB    eVR    eVI     pmRA     pmDE  DLtype    J2m  meJ2m   H2m  meH2m   K2m  meK2m    2mra      2mde   d2m"    Zv     Yv    Jmko   Hmko  Kmko    Rn 
Tphe-I      00:30:04.593 -46:28:10.17 14.820 +0.764 +0.338 +0.422 +0.395 +0.817  25  13 0.0026 0.0032 0.0072 0.0036 0.0110    13.6    -8.5  ______  13.473 0.026 13.060 0.027 12.994 0.028   7.51916 -46.46952  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.26
Tphe-A      00:30:09.594 -46:31:28.91 14.651 +0.793 +0.380 +0.435 +0.405 +0.841  29  12 0.0028 0.0046 0.0071 0.0019 0.0032     8.3    -2.0  ______  13.217 0.024 12.818 0.028 12.678 0.026   7.53997 -46.52471  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.24
Tphe-H      00:30:09.683 -46:27:24.30 14.942 +0.740 +0.225 +0.425 +0.425 +0.851  23  12 0.0029 0.0029 0.0071 0.0035 0.0098    11.2    -8.1  ______  13.547 0.026 13.190 0.031 13.075 0.029   7.54034 -46.45677  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.48
Tphe-B      00:30:16.313 -46:27:58.57 12.334 +0.405 +0.156 +0.262 +0.271 +0.535  29  17 0.0115 0.0026 0.0039 0.0020 0.0035     1.0    -5.4  ______  11.276 0.023 10.967 0.025 10.914 0.023   7.56799 -46.46630  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.00
Tphe-C      00:30:16.98  -46:32:21.4  14.376 -0.298 -1.217 -0.148 -0.211 -0.360  39  23 0.0022 0.0024 0.0043 0.0038 0.0149   -24.0   -22.0  ______  15.103 0.057 15.249 0.096 15.483 0.180   7.57074 -46.53929  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.53
Tphe-D      00:30:18.342 -46:31:19.85 13.118 +1.551 +1.871 +0.849 +0.810 +1.663  37  23 0.0033 0.0030 0.0118 0.0015 0.0030     2.3     1.3  ______  10.280 0.023  9.474 0.024  9.259 0.023   7.57644 -46.52219  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.30
Tphe-J      00:30:23.02  -46:23:51.6  13.434 +1.465 +1.229 +0.980 +1.063 +2.043  28  15 0.0023 0.0043 0.0059 0.0011 0.0011   -16.0  -208.0  ______  10.273 0.023  9.619 0.025  9.381 0.023   7.59590 -46.39767  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.73
Tphe-F      00:30:49.820 -46:33:24.07 12.475 +0.853 +0.534 +0.492 +0.437 +0.929  19  10 0.0008 0.0024 0.0095 0.0005 0.0029    80.6   -10.2  ______  10.886 0.023 10.516 0.029 10.349 0.021   7.70754 -46.55665  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.03
Tphe-K      00:30:56.315 -46:23:26.04 12.935 +0.806 +0.402 +0.473 +0.429 +0.909   2   2 0.0007 0.0007 0.0163 0.0007 0.0007   -11.2    -1.6  ______  11.572 0.023 11.330 0.057 11.286 0.045   7.73469 -46.39056  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.47
Tphe-G      00:31:04.303 -46:22:51.35 10.447 +1.545 +1.910 +0.934 +1.086 +2.025  20  10 0.0008 0.0011 0.0049 0.0008 0.0017    14.3     5.6  ______   7.108 0.027  6.374 0.034  6.085 0.016   7.76795 -46.38094  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   9.42
PG0029+024  00:31:42.20  +02:37:44.3  15.268 +0.362 -0.184 +0.251 +0.337 +0.593   5   2 0.0094 0.0174 0.0112 0.0161 0.0067    20.0   -26.0  ______  14.342 0.032 14.031 0.026 13.998 0.041   7.92585  +2.62899  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.60
HD2892      00:32:12.153 +01:11:17.28  9.360 +1.322 +1.414 +0.692 +0.628 +1.321  18  13 0.0026 0.0022 0.0018 0.0017 0.0017     7.8    -1.0  ______   7.086 0.024  6.402 0.053  6.218 0.020   8.05065  +1.18811  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   8.65
BD-15_115   00:38:20.261 -14:59:54.14 10.885 -0.199 -0.838 -0.095 -0.110 -0.204  15  12 0.0015 0.0014 0.0019 0.0017 0.0028     7.1     1.4  ______  11.313 0.022 11.421 0.024 11.453 0.023   9.58439 -14.99838  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.84
PG0039+049  00:42:06.121 +05:09:23.41 12.877 -0.019 -0.871 +0.067 +0.097 +0.164   4   3 0.0020 0.0030 0.0055 0.0035 0.0045    12.5   -13.4  ______  12.530 0.029 12.335 0.027 12.290 0.026  10.52549  +5.15649  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.73
