WAVELENGTH,FLUX,STATERROR,SYSERROR,FWHM,DATAQUAL,TOTEXP,WAVELENGTH [um]
900.452,1.275734e-17,0.0,1.275734e-19,1.800904,1,0.0,0.09004520000000002
901.354,1.7265205e-17,0.0,1.7265205e-19,1.802708,1,0.0,0.09013540000000002
902.258,1.8341225e-17,0.0,1.8341223e-19,1.804516,1,0.0,0.09022580000000002
903.163,1.8789565e-17,0.0,1.8789565e-19,1.806326,1,0.0,0.09031630000000002
904.068,1.9221603e-17,0.0,1.9221603e-19,1.808136,1,0.0,0.09040680000000001
904.974,1.975146e-17,0.0,1.975146e-19,1.809948,1,0.0,0.09049740000000002
905.882,2.028947e-17,0.0,2.0289469e-19,1.811764,1,0.0,0.09058820000000001
906.79,2.0803023e-17,0.0,2.0803024e-19,1.81358,1,0.0,0.09067900000000001
907.699,2.1332882e-17,0.0,2.1332881e-19,1.815398,1,0.0,0.09076990000000001
908.609,2.187089e-17,0.0,2.187089e-19,1.817218,1,0.0,0.09086090000000002
909.52,2.2417051e-17,0.0,2.2417052e-19,1.81904,1,0.0,0.09095200000000002
910.431,2.2987667e-17,0.0,2.2987667e-19,1.820862,1,0.0,0.09104310000000002
911.344,2.3599041e-17,0.0,2.3599042e-19,1.822688,1,0.0,0.09113440000000002
912.258,2.443051e-17,0.0,2.443051e-19,1.824516,1,0.0,0.09122580000000002
913.172,2.6729278e-17,0.0,2.6729276e-19,1.826344,1,0.0,0.09131720000000002
914.088,4.855941e-17,0.0,4.855941e-19,1.828176,1,0.0,0.09140880000000001
915.004,3.7465006e-16,0.0,3.7465008e-18,1.830008,1,0.0,0.09150040000000002
915.921,2.423487e-15,0.0,2.423487e-17,1.831842,1,0.0,0.09159210000000002
916.84,7.0544423e-15,0.0,7.0544424e-17,1.83368,1,0.0,0.09168400000000002
917.759,1.18688095e-14,0.0,1.186881e-16,1.835518,1,0.0,0.09177590000000002
918.679,1.5830514e-14,0.0,1.5830514e-16,1.837358,1,0.0,0.09186790000000002
919.6,1.9979706e-14,0.0,1.9979706e-16,1.8392,1,0.0,0.09196000000000001
920.522,2.2898e-14,0.0,2.2897998e-16,1.841044,1,0.0,0.09205220000000003
921.445,2.7022736e-14,0.0,2.7022736e-16,1.84289,1,0.0,0.09214450000000002
922.368,2.9892118e-14,0.0,2.9892118e-16,1.844736,1,0.0,0.09223680000000002
923.293,3.2231643e-14,0.0,3.2231644e-16,1.846586,1,0.0,0.09232930000000002
924.219,4.738557e-14,0.0,4.738557e-16,1.848438,1,0.0,0.09242190000000002
925.145,4.8086613e-14,0.0,4.808661e-16,1.85029,1,0.0,0.09251450000000001
926.073,3.726937e-14,0.0,3.7269368e-16,1.852146,1,0.0,0.09260730000000002
927.001,5.205647e-14,0.0,5.205647e-16,1.854002,1,0.0,0.09270010000000002
927.93,7.7310296e-14,0.0,7.7310296e-16,1.85586,1,0.0,0.09279300000000001
928.86,8.0122615e-14,0.0,8.0122615e-16,1.85772,1,0.0,0.09288600000000002
929.792,5.8145756e-14,0.0,5.8145757e-16,1.859584,1,0.0,0.09297920000000003
930.724,4.1157707e-14,0.0,4.1157707e-16,1.861448,1,0.0,0.09307240000000003
931.657,6.208301e-14,0.0,6.2083005e-16,1.863314,1,0.0,0.09316570000000002
932.591,9.6760145e-14,0.0,9.676014e-16,1.865182,1,0.0,0.09325910000000001
933.526,1.1860658e-13,0.0,1.1860658e-15,1.867052,1,0.0,0.09335260000000001
934.462,1.2520943e-13,0.0,1.2520942e-15,1.868924,1,0.0,0.09344620000000002
935.398,1.1656867e-13,0.0,1.1656866e-15,1.870796,1,0.0,0.09353980000000002
936.336,8.950517e-14,0.0,8.950517e-16,1.872672,1,0.0,0.09363360000000003
937.275,5.5129644e-14,0.0,5.512964e-16,1.87455,1,0.0,0.09372750000000002
938.214,5.4844336e-14,0.0,5.4844335e-16,1.876428,1,0.0,0.09382140000000003
939.155,9.488527e-14,0.0,9.488527e-16,1.87831,1,0.0,0.09391550000000001
940.097,1.3246439e-13,0.0,1.3246439e-15,1.880194,1,0.0,0.09400970000000002
941.039,1.5357718e-13,0.0,1.5357717e-15,1.882078,1,0.0,0.09410390000000002
941.982,1.664568e-13,0.0,1.664568e-15,1.883964,1,0.0,0.09419820000000001
942.927,1.7354874e-13,0.0,1.7354873e-15,1.885854,1,0.0,0.09429270000000002
943.872,1.758312e-13,0.0,1.758312e-15,1.887744,1,0.0,0.09438720000000002
944.818,1.6670134e-13,0.0,1.6670135e-15,1.889636,1,0.0,0.09448180000000002
945.765,1.6018003e-13,0.0,1.6018002e-15,1.89153,1,0.0,0.09457650000000002
946.714,1.6360372e-13,0.0,1.6360371e-15,1.893428,1,0.0,0.09467140000000002
947.663,1.4811557e-13,0.0,1.4811557e-15,1.895326,1,0.0,0.09476630000000001
948.613,1.034445e-13,0.0,1.034445e-15,1.897226,1,0.0,0.09486130000000002
949.564,6.4748594e-14,0.0,6.4748596e-16,1.899128,1,0.0,0.09495640000000001
950.516,9.056489e-14,0.0,9.056489e-16,1.901032,1,0.0,0.09505160000000001
951.468,1.521914e-13,0.0,1.521914e-15,1.902936,1,0.0,0.09514680000000002
952.422,1.9270513e-13,0.0,1.9270512e-15,1.904844,1,0.0,0.09524220000000003
953.377,2.1438852e-13,0.0,2.1438853e-15,1.906754,1,0.0,0.09533770000000001
954.333,2.3810985e-13,0.0,2.3810983e-15,1.908666,1,0.0,0.09543330000000001
955.29,2.6248329e-13,0.0,2.624833e-15,1.91058,1,0.0,0.09552900000000002
956.247,2.8400367e-13,0.0,2.8400367e-15,1.912494,1,0.0,0.0956247
957.206,3.0030698e-13,0.0,3.0030698e-15,1.914412,1,0.0,0.09572060000000002
958.166,3.0544252e-13,0.0,3.0544252e-15,1.916332,1,0.0,0.09581660000000003
959.126,3.073989e-13,0.0,3.073989e-15,1.918252,1,0.0,0.09591260000000001
960.088,3.0625768e-13,0.0,3.0625768e-15,1.920176,1,0.0,0.09600880000000002
961.05,3.1261598e-13,0.0,3.1261597e-15,1.9221,1,0.0,0.09610500000000001
962.014,3.2044156e-13,0.0,3.2044156e-15,1.924028,1,0.0,0.09620140000000002
962.978,3.181591e-13,0.0,3.1815909e-15,1.925956,1,0.0,0.09629780000000002
963.943,3.0210033e-13,0.0,3.0210034e-15,1.927886,1,0.0,0.09639430000000002
964.91,3.0136668e-13,0.0,3.0136668e-15,1.92982,1,0.0,0.09649100000000002
965.877,3.2908233e-13,0.0,3.2908232e-15,1.931754,1,0.0,0.09658770000000001
966.845,3.4840173e-13,0.0,3.4840174e-15,1.93369,1,0.0,0.09668450000000002
967.815,3.4709749e-13,0.0,3.4709746e-15,1.93563,1,0.0,0.09678150000000002
968.785,3.304681e-13,0.0,3.3046808e-15,1.93757,1,0.0,0.09687850000000002
969.756,2.934596e-13,0.0,2.9345958e-15,1.939512,1,0.0,0.09697560000000001
